row.names,geneid,genesymbol
1,ENSG00000223972.4,DDX11L1
2,ENSG00000227232.4,WASH7P
3,ENSG00000243485.2,MIR1302-11
4,ENSG00000237613.2,FAM138A
5,ENSG00000268020.2,OR4G4P
6,ENSG00000240361.1,OR4G11P
7,ENSG00000186092.4,OR4F5
8,ENSG00000238009.2,RP11-34P13.7
9,ENSG00000233750.3,CICP27
10,ENSG00000237683.5,AL627309.1
11,ENSG00000268903.1,RP11-34P13.15
12,ENSG00000239906.1,RP11-34P13.14
13,ENSG00000241860.2,RP11-34P13.13
14,ENSG00000222623.1,RNU6-1100P
15,ENSG00000241599.1,RP11-34P13.9
16,ENSG00000228463.4,AP006222.2
17,ENSG00000237094.7,RP4-669L17.10
18,ENSG00000250575.1,RP4-669L17.8
19,ENSG00000233653.3,CICP7
20,ENSG00000224813.2,RP4-669L17.4
21,ENSG00000235249.1,OR4F29
22,ENSG00000269732.1,WBP1LP7
23,ENSG00000256186.1,AL732372.1
24,ENSG00000236601.1,RP4-669L17.2
25,ENSG00000236743.1,RP5-857K21.15
26,ENSG00000236679.2,RP4-669L17.1
27,ENSG00000231709.1,RP5-857K21.1
28,ENSG00000235146.2,RP5-857K21.2
29,ENSG00000239664.2,RP5-857K21.3
30,ENSG00000230021.3,RP5-857K21.4
31,ENSG00000223659.1,RP5-857K21.5
32,ENSG00000225972.1,MTND1P23
33,ENSG00000225630.1,MTND2P28
34,ENSG00000237973.1,hsa-mir-6723
35,ENSG00000229344.1,RP5-857K21.7
36,ENSG00000240409.1,MTATP8P1
37,ENSG00000248527.1,MTATP6P1
38,ENSG00000198744.5,RP5-857K21.11
39,ENSG00000268663.1,WBP1LP6
40,ENSG00000185097.2,OR4F16
41,ENSG00000229376.3,CICP3
42,ENSG00000224956.5,RP11-206L10.1
43,ENSG00000235373.1,RP11-206L10.3
44,ENSG00000223181.1,RNU6-1199P
45,ENSG00000240618.1,RP11-206L10.5
46,ENSG00000229905.1,RP11-206L10.4
47,ENSG00000228327.2,RP11-206L10.2
48,ENSG00000237491.4,RP11-206L10.9
49,ENSG00000230092.3,RP11-206L10.8
50,ENSG00000269831.1,AL669831.1
51,ENSG00000240453.1,RP11-206L10.10
52,ENSG00000177757.1,FAM87B
53,ENSG00000225880.4,LINC00115
54,ENSG00000228794.4,RP11-206L10.11
55,ENSG00000230368.2,FAM41C
56,ENSG00000234711.1,TUBB8P11
57,ENSG00000269308.1,AL645608.2
58,ENSG00000272438.1,RP11-54O7.16
59,ENSG00000230699.2,RP11-54O7.1
60,ENSG00000241180.1,RP11-54O7.2
61,ENSG00000223764.2,RP11-54O7.3
62,ENSG00000187634.6,SAMD11
63,ENSG00000268179.1,AL645608.1
64,ENSG00000188976.6,NOC2L
